Model Size,Dropout,Phase,Epochs,Training Loss,Validation Loss,AUC,F1,Precision,Recall,Accuracy,MCC
128,0.4,Validation,16,0.21998198169723773,0.25602335776006885,0.9589482696747993,0.8949467686309792,0.9163263426167593,0.8745420977053601,0.8973419687600739,0.7955114358804947
128,0.4,Testing,16,0.21998198169723773,0.25602335776006885,0.9472215684491462,0.8797499513412637,0.8758092459195769,0.8837262794709603,0.8792064404830362,0.7584438700145775
128,0.6,Training,16,0.21558436954859617,0.25603731828694615,0.9705502064090452,0.9125743210341315,0.9388165760183205,0.8877592452529756,0.9149516340909996,0.8311333015372357
128,0.6,Validation,21,0.21558436954859617,0.25603731828694615,0.9598757854410149,0.8988189093505488,0.9126665256925354,0.8853852240424347,0.9003311549394837,0.8010202550264055
128,0.6,Testing,21,0.21558436954859617,0.25603731828694615,0.9487522021770954,0.884579556040261,0.8738973311485713,0.8955261644623347,0.8831512363427257,0.76653728191886
256,0,Training,8,0.21391948003303693,0.25417260921815416,0.9710502940696372,0.9111772029898532,0.9482806123327536,0.8768679590780621,0.9145217148998845,0.8314043207935372
256,0,Validation,13,0.21391948003303693,0.25417260921815416,0.9597024909401308,0.8965860125952934,0.9226070509441567,0.8719924977288046,0.8994226767869179,0.8000501999004211
256,0,Testing,13,0.21391948003303693,0.25417260921815416,0.948883828656327,0.8806519574931124,0.8864393745193541,0.8749396204715354,0.8814261069580218,0.762916415281416
256,0.2,Training,12,0.21536874051059565,0.25930842390672015,0.970454777262667,0.9088656433453626,0.9511220946927836,0.8702042116157797,0.9127423271366586,0.8284883843685003
256,0.2,Validation,17,0.21536874051059565,0.25930842390672015,0.9583665557955909,0.8929960794998714,0.9235128365685661,0.8644316150397093,0.8964188377340796,0.7944651077919123
256,0.2,Testing,17,0.21536874051059565,0.25930842390672015,0.9474989959727139,0.8794994718452913,0.8877536673384262,0.8713973548016101,0.8806095457159286,0.7613483252313259
256,0.4,Training,16,0.21945836386481188,0.2524772599609822,0.9695512081780541,0.9117762834180745,0.9400295920524202,0.8851717686397834,0.9143505433700888,0.8301158149635478
256,0.4,Validation,21,0.21945836386481188,0.2524772599609822,0.9599626905542036,0.8979780232869778,0.912709222434093,0.8837147964715881,0.8995985112680597,0.7996005906762996
256,0.4,Testing,21,0.21945836386481188,0.2524772599609822,0.9497458370217329,0.8845680419421017,0.8766745735908732,0.8926049453709028,0.8835192639447959,0.7671651967178675
256,0.6,Training,22,0.22359536767957502,0.2624739111584921,0.9680955618300915,0.9076963089257037,0.9426295572246802,0.8752597428446319,0.9109947852394411,0.8240969977096669
256,0.6,Validation,27,0.22359536767957502,0.2624739111584921,0.9574167101031918,0.8917711138863393,0.9163832024243923,0.8684465023591126,0.8946018814289483,0.7902857786705125
256,0.6,Testing,27,0.22359536767957502,0.2624739111584921,0.9460261445887912,0.8791287559106096,0.8837571475059272,0.8745485911443358,0.8797584818861415,0.7595581982094632
